PATH,ROW,astext
166,34,"POLYGON((50.1850534453128 36.6667588350357,50.1694350219167 36.6167539105025,50.1596578493877 36.5854507013332,50.1563 36.5747,50.1210008670875 36.5798314239395,50.082342727686 36.5854511456044,50.0821351545047 36.585481320453,48.1210155133965 36.8705686708848,48.1208 36.8706,48.1291677555487 36.8999826311513,48.142031303114 36.9451518370639,48.528972186563 38.3038604166271,48.5385595912696 38.3375257375786,48.5502 38.3784,48.5505304709683 38.3783519390236,49.5665607577016 38.2305888605077,50.12105 38.1499485109869,50.3879137807387 38.1111380401759,50.6254 38.0766,50.6119956691259 38.0336838530381,50.1850534453128 36.6667588350357))"
166,35,"POLYGON((47.7333192939075 35.4717288201267,47.7441651238922 35.5108614668601,48.1210155133965 36.8705686708848,48.1291677555487 36.8999826311513,48.1417 36.9452,48.142031303114 36.9451518370639,50.0569485052864 36.6667722172928,50.1210485729711 36.6574537191097,50.1792 36.649,50.1694350219167 36.6167539105025,50.1599692823836 36.5854959720266,50.12105 36.456976004832,49.734986101712 35.1821087281439,49.7239 35.1455,47.7237400285255 35.436265106831,47.7235 35.4363,47.7333192939075 35.4717288201267))"
166,36,"POLYGON((47.3361848087549 34.000773145198,47.336 34.0008,47.3442478132511 34.0313345005895,47.3561670730334 34.0754611840838,47.7237400285255 35.436265106831,47.7333192939075 35.4717288201267,47.7439 35.5109,47.7441651238922 35.5108614668601,49.7461 35.2199,49.734986101712 35.1821087281439,49.3150521928747 33.7541816318945,49.3035 33.7149,47.3361848087549 34.000773145198))"
166,37,"POLYGON((46.9573965867046 32.564271439156,46.9572 32.5643,46.966380057514 32.5990953421498,46.9769258309251 32.6390671825785,47.3361848087549 34.000773145198,47.3442478132511 34.0313345005895,47.3559 34.0755,47.3561670730334 34.0754611840838,49.3251 33.7893,49.3150521928747 33.7541816318945,48.9070447843184 32.3281436730794,48.8941 32.2829,46.9573965867046 32.564271439156))"
166,38,"POLYGON((46.5867951103838 31.1268716480064,46.5866 31.1269,46.5963988724082 31.164884759948,46.6058889621361 31.2016725417643,46.9573965867046 32.564271439156,46.966380057514 32.5990953421498,46.9767 32.6391,46.9769258309251 32.6390671825785,48.9152 32.3574,48.9070447843184 32.3281436730794,48.5035791370682 30.8807358621733,48.4949 30.8496,46.5867951103838 31.1268716480064))"
166,39,"POLYGON((46.2235621439525 29.6884764487977,46.2234 29.6885,46.2320802586941 29.7228577490345,46.2422907277856 29.7632722973716,46.5867951103838 31.1268716480064,46.5963988724082 31.164884759948,46.6057 31.2017,46.6058889621361 31.2016725417643,48.5154 30.9242,48.5035791370682 30.8807358621733,48.1169730181877 29.459223597576,48.105 29.4152,46.2235621439525 29.6884764487977))"
166,40,"POLYGON((45.8671648308364 28.2492760570493,45.867 28.2493,45.876671164404 28.2883353050057,45.8855513495392 28.3241780144022,46.2235621439525 29.6884764487977,46.2320802586941 29.7228577490345,46.2421 29.7633,46.2422907277856 29.7632722973716,48.1251 29.4898,48.1169730181877 29.459223597576,47.7364053339549 28.0274016824583,47.7237 27.9796,45.8671648308364 28.2492760570493))"
166,41,"POLYGON((45.5168708394308 26.8092751897582,45.5167 26.8093,45.527227034129 26.8525530621155,45.5349249256648 26.8841818548672,45.8671648308364 28.2492760570493,45.876671164404 28.2883353050057,45.8854 28.3242,45.8855513495392 28.3241780144022,47.7434 28.0543,47.7364053339549 28.0274016824583,47.3587059157888 26.5749407901569,47.3504 26.543,45.5168708394308 26.8092751897582))"
166,42,"POLYGON((45.1722239707026 25.3684820016048,45.1721 25.3685,45.1804563089919 25.4034204784644,45.1900422114572 25.4434793490643,45.5168708394308 26.8092751897582,45.527227034129 26.8525530621155,45.5348 26.8842,45.5349249256648 26.8841818548672,47.3696 26.6177,47.3587059157888 26.5749407901569,46.9899118152596 25.1274263384821,46.9843 25.1054,45.1722239707026 25.3684820016048))"
166,43,"POLYGON((44.8327727752816 23.9270749074341,44.8326 23.9271,44.845205219212 23.9805972135825,44.8502694125037 24.0020899163745,45.1722239707026 25.3684820016048,45.1804563089919 25.4034204784644,45.1899 25.4435,45.1900422114572 25.4434793490643,47.0031 25.1802,46.9899118152596 25.1274263384821,46.6325917699136 23.6975792823566,46.6249 23.6668,44.8327727752816 23.9270749074341))"
166,44,"POLYGON((44.4979054871039 22.4849846746946,44.4978 22.485,44.5060420279262 22.5204823512112,44.5152174337768 22.5599829420624,44.8327727752816 23.9270749074341,44.845205219212 23.9805972135825,44.8502 24.0021,44.8502694125037 24.0020899163745,46.6434 23.7416,46.6325917699136 23.6975792823566,46.2845930533592 22.280219259553,46.2716 22.2273,44.4979054871039 22.4849846746946))"
